STATE,City,Area,Year,Month,Day,Pothole_Severity,Typeofvehicle,Causes,No_of_death,No_of_injured,No_of_accident,Accident_Severity
DELHI (UT),Najafgarh,Bellanduru,2017,Jul,21,High,car over speed hit to road crossing Pedestrian,Truck/Lorry (Private),4,3,5,High
DELHI (UT),Kirari Suleman Nagar,Benniganahalli,2017,Jul,12,Low,Two wheeler over speed Self accident,Bus (Government),5,7,8,Low
DELHI (UT),Pitam Pura,Bharathi Nagar,2017,Jul,31,High,Two wheeler riding and over speed hit to Truck,Bus (Private),8,23,25,High
GOA,Bicholim,BTM Layout,2017,Jul,13,Medium,LCV over speed self accident due to defect in mechanical condition,Tempo/Vans (Government),11,12,30,Medium
GOA,Canacona,C V Raman Nagar,2017,Jul,30,Low,Two wheeler over speed Drunk & Drive,Tempo/Vans (Private),9,20,31,Low
GOA,Ponda,Chickpete,2017,Jul,23,Low,Car over speed vehicle out of control,Jeep (Government),13,1,10,Low
GOA,Pernem,Devasandra,2017,Jul,22,High,car over speed and hit to two wheeler,Car (Government),20,4,21,High
GOA,Quepem,Dharmaraya Swamy Temple,2017,Jul,20,Medium,Car over speed and hit to road crossing Pedestrian,Total Truck/Lorry,21,23,40,Medium
GOA,Sanguem,Dodda Nekkundi,2017,Jul,11,Medium,Truck hit to Car,Total Bus,19,2,7,Medium
GOA,Sanquelim,Domlur,2017,Jul,19,Low,Truck over speed and hit to Auto,Total Tempo/Vans,22,24,23,Low
GOA,Cuncolim,Garudachar Playa,2017,Jul,18,Medium,Multi axle over speed and hit to Two wheeler,Truck/Lorry (Government),3,21,20,Medium
GOA,Mapusa,Gurappanapalya,2017,Jul,15,Low,Self accident Two wheeler over speed,Truck/Lorry (Private),1,2,3,Low
GOA,Mormugao,Hagadur,2017,Jul,14,Medium,Car over speed and vehicle out of control,Bus (Private),10,22,23,Medium
GOA,Bicholim,HAL Airport,2017,Jul,12,High,Truck overtaking and Hit to the KSRTC Bus,Tempo/Vans (Government),20,12,14,High
GOA,Canacona,Halsoor,2017,Jul,18,Low,Mini Truck,Tempo/Vans (Private),21,34,40,Low
GOA,Ponda,Hemmigepura,2017,Jul,17,Low,Car over speed and hit to Two wheeler,Jeep (Government),23,21,22,Low
GOA,Quepem,Horamavu,2017,Aug,14,Low,Over speed of Motor Vehicle,Jeep (Private),21,34,50,Low
GOA,Sanguem,Hoysala Nagar,2017,Aug,9,Low,car over speed and hit to two wheeler,Car (Government),12,21,30,Low
GOA,Sanquelim,HSR Layout,2017,Aug,8,Medium,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,Total Truck/Lorry,15,22,30,Medium
GOA,Cuncolim,Hudi,2017,Aug,10,Medium,Two wheeler over speed Hit to LCV and skidding,Total Tempo/Vans,13,21,20,Medium
GOA,Mapusa,J P Nagar,2017,Aug,20,High,Truck over speed and hit to Car,Total Jeep,10,23,40,High
GOA,Mormugao,Jaraganahalli,2017,Aug,2,Medium,Two wheeler over speed and hit to two wheeler,Truck/Lorry (Government),20,3,5,Medium
GOA,Bicholim,Jayanagar East,2017,Aug,1,High,Truck over speed and hit to Car,Bus (Private),5,2,4,High
GOA,Canacona,Jeevanbhima Nagar,2017,Aug,5,Medium,Two wheeler over speed Self accident,Tempo/Vans (Government),6,3,5,Medium
GOA,Canacona,Jogupalya,2017,Aug,6,Medium,Bike over speed fault of Motor vehicle,Tempo/Vans (Private),7,7,8,Medium
GUJARAT,Ahmedabad,K R Puram,2017,Aug,4,High,Vehicle parking in shoulder portion back side the two wheeler over speed come and Hit to the Loory,Jeep (Government),9,23,25,High
GUJARAT,Rajkot,Kacharkanahalli,2017,Aug,7,Low,Car over speed and hit to car,Jeep (Private),1,12,30,Low
GUJARAT,Surat,Kadugodi,2017,Aug,23,Medium,Car over speed and hit to car,Car (Government),12,20,31,Medium
GUJARAT,Vadodara,Kammanahalli,2017,Aug,21,Low,Car over speed and hit to Auto,Total Tempo/Vans,5,1,10,Low
GUJARAT,Porbandar,Konena Agrahara,2017,Aug,12,Low,Drunk & Drive,Total Jeep,6,4,21,Low
GUJARAT,Bharuch,Madivala,2017,Aug,31,Medium,car over speed and hit to two wheeler. Defects in mechanical condition,Truck/Lorry (Government),3,23,40,Medium
GUJARAT,Patan,Marathahalli,2017,Aug,13,Low,Car over speed and hit to Two wheeler,Truck/Lorry (Private),5,2,7,Low
GUJARAT,Navsari,New Tippasandara,2017,Aug,30,Low,Fault of driver of Motor vehicle,Bus (Private),10,24,23,Low
GUJARAT,Ahmedabad,Other,2017,Aug,23,Medium,Bike over speed hit to car,Tempo/Vans (Government),12,21,20,Medium
GUJARAT,Rajkot,other,2017,Aug,22,Medium,Car over speed hit to run,Tempo/Vans (Private),15,2,3,Medium
GUJARAT,Surat,Ramamurthy Nagar,2017,Aug,20,High,Bus over speed and hit to Bike,Jeep (Private),20,22,23,High
GUJARAT,Vadodara,Sampangiram Nagar,2017,Aug,11,Low,Car,Car (Government),2,12,14,Low
GUJARAT,Porbandar,Sarakki,2017,Aug,19,Medium,Car,Total Truck/Lorry,19,34,40,Medium
GUJARAT,Bharuch,Shantala Nagar,2017,Aug,18,Medium,Bike,Total Tempo/Vans,17,21,22,Medium
GUJARAT,Patan,Singasandra,2017,Sep,15,High,Fault of Agricultural vehicle hit to Truck,Truck/Lorry (Government),16,34,50,High
GUJARAT,Navsari,Sudham Nagara,2017,Sep,14,Low,Car over speed vehicle out of control Self accident,Truck/Lorry (Private),2,21,30,Low
GUJARAT,Ahmedabad,Varthuru,2017,Sep,12,High,Two wheeler over speed and hit to truck,Bus (Government),13,22,30,High
GUJARAT,Rajkot,Vasanthpura,2017,Sep,18,Low,Two wheeler over speed Self accident,Bus (Private),17,21,20,Low
GUJARAT,Surat,Vijnana Nagar,2017,Sep,17,Medium,Car over speed self accident. Drunken & Drive,Tempo/Vans (Government),2,23,40,Medium
GUJARAT,Vadodara,Vijnanapura,2017,Sep,14,High,Self Accident Drunk & Drive,Tempo/Vans (Private),1,3,5,High
GUJARAT,Porbandar,Yelchenahalli,2017,Sep,9,Low,Self accident due to vehicle tyre puncher and over speed vehicle out of control,Jeep (Government),2,2,4,Low
GUJARAT,Bharuch,A Narayanapura,2017,Sep,8,High,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,Jeep (Private),4,3,5,High
HARYANA,Gurugram,Agaram,2017,Sep,10,High,Car over speed self accident,Car (Government),5,7,8,High
HARYANA,Faridabad,Banasavadi,2017,Sep,20,Low,Two wheeler over speed self accident,Total Truck/Lorry,8,23,25,Low
HARYANA,Rohtak,Basavanapura,2017,Sep,2,High,Truck over speed and hit to road crossing pedestrian,Total Bus,11,12,30,High
HARYANA,Hisar,Bellanduru,2017,Sep,1,High,Truck over speed and hit to LCV,Total Tempo/Vans,9,20,31,High
HARYANA,Panipat,Benniganahalli,2017,Sep,5,Low,Car over speed and hit to road crossing two wheeler,Total Jeep,13,1,10,Low
HARYANA,Ambala,Bharathi Nagar,2017,Sep,6,High,Two wheeler over speed and hit to Car,Truck/Lorry (Government),20,4,21,High
HARYANA,Karnal,BTM Layout,2017,Sep,4,Medium,Car Hit to Truck,Truck/Lorry (Private),21,23,40,Medium
HARYANA,Sonipat,C V Raman Nagar,2017,Sep,7,Low,Car over speed and hit to Truck,Bus (Private),19,2,7,Low
HARYANA,Jind,Chickpete,2017,Sep,23,Low,Two wheeler over speed and hit to car,Tempo/Vans (Government),22,24,23,Low
HARYANA,Yamuna Nagar,Devasandra,2017,Sep,21,High,Two wheeler over speed Self accident,Jeep (Government),3,21,20,High
HARYANA,Sirsa,Dharmaraya Swamy Temple,2017,Sep,12,Medium,Truck over speed and hit to car,Jeep (Private),1,2,3,Medium
HARYANA,Gurugram,Dodda Nekkundi,2017,Sep,31,Medium,Fault of car vehicle over speed and hit to bike,Car (Government),10,22,23,Medium
HARYANA,Faridabad,Domlur,2017,Sep,13,Low,Two wheeler over speed Self accident due to defect in mechanical condition,Total Truck/Lorry,20,12,14,Low
HARYANA,Rohtak,Garudachar Playa,2017,Sep,30,Medium,Car U turn the opening that time opposite car over speed and hit to car,Total Jeep,21,34,40,Medium
HARYANA,Hisar,Gurappanapalya,2017,Sep,23,Low,Car Hit and run,Truck/Lorry (Government),23,21,22,Low
HARYANA,Panipat,Hagadur,2017,Sep,22,Medium,Mini Truck,Truck/Lorry (Private),21,34,50,Medium
HARYANA,Ambala,HAL Airport,2017,Sep,20,High,Car hit to two wheeler. Fault of two wheeler illegal opening crossing,Bus (Government),12,21,30,High
HARYANA,Karnal,Halsoor,2017,Sep,11,Low,Three wheeler Driver Drunk & Drive,Tempo/Vans (Government),15,22,30,Low
HARYANA,Sonipat,Hemmigepura,2017,Sep,19,Low,Car over speed and hit to the lorry,Tempo/Vans (Private),13,21,20,Low
HARYANA,Jind,Horamavu,2017,Sep,18,Low,Truck over speed and hit to Two wheeler,Jeep (Government),10,23,40,Low
HARYANA,Yamuna Nagar,Hoysala Nagar,2017,Sep,15,Low,Rash driving of Tractor and Hit to Mini bus,Jeep (Private),20,3,5,Low
HARYANA,Sirsa,HSR Layout,2017,Oct,14,Medium,Car over speed and hit to Two wheeler,Car (Government),5,2,4,Medium
HARYANA,Kurukshetra,Hudi,2018,Oct,12,Medium,The vehicle hit and run,Total Truck/Lorry,6,3,5,Medium
HIMACHAL PRADESH,Shimla,J P Nagar,2018,Oct,18,High,Two wheeler over speed Self accident,Total Tempo/Vans,7,7,8,High
HIMACHAL PRADESH,Dharamsala,Jaraganahalli,2018,Oct,17,Medium,Truck over speed and hit to Car,Total Jeep,9,23,25,Medium
HIMACHAL PRADESH,Solan,Jayanagar East,2018,Oct,14,High,Two wheeler over speed and hit to Road Pedestrian,Truck/Lorry (Government),1,12,30,High
HIMACHAL PRADESH,Mandi,Jeevanbhima Nagar,2018,Oct,9,Medium,car over speed and hit to two wheeler,Truck/Lorry (Private),12,20,31,Medium
HIMACHAL PRADESH,Palampur,Jogupalya,2018,Oct,8,Medium,car over speed and hit to two wheeler,Tempo/Vans (Government),5,1,10,Medium
HIMACHAL PRADESH,Baddi,K R Puram,2018,Oct,10,High,Truck tyre burst self accident,Tempo/Vans (Private),6,4,21,High
HIMACHAL PRADESH,Nahan,Kacharkanahalli,2018,Oct,20,Low,Truck tyre burst self accident,Jeep (Government),3,23,40,Low
HIMACHAL PRADESH,Paonta Sahib ,Kadugodi,2018,Oct,2,Medium,Car over speed and Hit to Agricultural vehicle,Jeep (Private),5,2,7,Medium
HIMACHAL PRADESH,Chamba,Kammanahalli,2018,Oct,1,Low,Car over speed and hit to Truck,Car (Government),10,24,23,Low
HIMACHAL PRADESH,Una,Konena Agrahara,2018,Oct,5,Low,Self accident over speed and skidding,Total Truck/Lorry,12,21,20,Low
HIMACHAL PRADESH,Kullu,Madivala,2018,Oct,6,Medium,Drunk & Drive Two wheeler,Total Tempo/Vans,15,2,3,Medium
HIMACHAL PRADESH,Hamirpur,Marathahalli,2018,Oct,4,Low,Bike Over Speed Drunken and Drive,Total Jeep,20,22,23,Low
HIMACHAL PRADESH,Bilaspur,New Tippasandara,2018,Oct,7,Low,Truck over speed and hit to car,Truck/Lorry (Government),2,12,14,Low
HIMACHAL PRADESH,Parw?noo,Other,2018,Oct,23,Medium,Two wheeler over speed self accident,Truck/Lorry (Private),19,34,40,Medium
HIMACHAL PRADESH,Santokhgarh,other,2018,Oct,21,Medium,Two wheeler over speed and hit to Two wheeler,Bus (Government),17,21,22,Medium
HIMACHAL PRADESH,Rohru,Ramamurthy Nagar,2018,Nov,12,High,Car over speed and hit to car,Bus (Private),16,34,50,High
HIMACHAL PRADESH,Theog,Sampangiram Nagar,2018,Nov,31,Low,Two wheeler over speed self accident,Tempo/Vans (Government),2,21,30,Low
HIMACHAL PRADESH,Gagret,Sarakki,2018,Nov,13,Medium,Bike over speed fault of Motor vehicle,Tempo/Vans (Private),13,22,30,Medium
HIMACHAL PRADESH,Hamirpur,Shantala Nagar,2018,Nov,30,Medium,The car driver sleeping vehicle out of control- non injured,Jeep (Government),17,21,20,Medium
HIMACHAL PRADESH,Bilaspur,Singasandra,2018,Nov,23,High,Lorry,Jeep (Private),2,23,40,High
HIMACHAL PRADESH,Parw?noo,Sudham Nagara,2018,Nov,22,Low,Car over speed and hit to Bus,Car (Government),1,3,5,Low
JAMMU & KASHMIR,Srinagar,Varthuru,2018,Nov,20,High,Car over speed and hit to Bike,Total Truck/Lorry,2,2,4,High
JAMMU & KASHMIR,Jammu,Vasanthpura,2018,Nov,11,Low,Multi axle over speed self accident,Total Bus,4,3,5,Low
JAMMU & KASHMIR,Anantnag,Vijnana Nagar,2018,Nov,19,Medium,Truck over speed and hit to the parked truck,Total Tempo/Vans,5,7,8,Medium
JAMMU & KASHMIR,Udhampur,Vijnanapura,2018,Nov,18,High,Car over speed Driver sleeping vehicle skidding,Total Jeep,8,23,25,High
JAMMU & KASHMIR,Baramula,Yelchenahalli,2018,Nov,15,Low,Car over speed vehicle out of control Self accident,Truck/Lorry (Government),11,12,30,Low
JAMMU & KASHMIR,Kathua,A Narayanapura,2018,Nov,14,High,car over speed and hit to two wheeler,Truck/Lorry (Private),9,20,31,High
JAMMU & KASHMIR,Ganderbal,Agaram,2018,Nov,12,High,Bike over speed and skidding self Accident,Bus (Government),13,1,10,High
JAMMU & KASHMIR,Punch,Banasavadi,2018,Nov,18,Low,BUS Hit to LCV,Bus (Private),20,4,21,Low
JAMMU & KASHMIR,Kulgam,Basavanapura,2018,Nov,17,High,Car over speed and Hit to two wheeler,Tempo/Vans (Government),21,23,40,High
JAMMU & KASHMIR,Doda,Bellanduru,2018,Nov,14,High,Car over speed and Hit to Two wheeler,Tempo/Vans (Private),19,2,7,High
JAMMU & KASHMIR,Akhnoor,Benniganahalli,2018,Nov,9,Low,The car hit to the road pedestrian the fault of car over speed,Jeep (Government),22,24,23,Low
JAMMU & KASHMIR,Duru Verinag,Bharathi Nagar,2018,Nov,8,High,Car over speed and hit to Two wheeler,Jeep (Private),3,21,20,High
JAMMU & KASHMIR,Sopore,BTM Layout,2018,Nov,10,Medium,LCV over speed and Hit to Two wheeler,Car (Government),1,2,3,Medium
JAMMU & KASHMIR,Udhampur,C V Raman Nagar,2018,Nov,20,Low,LCV over speed self accident due to defect in mechanical condition,Total Truck/Lorry,10,22,23,Low
JAMMU & KASHMIR,Baramula,Chickpete,2018,Nov,2,Low,Two wheeler over speed and hit to Multi axle,Total Bus,20,12,14,Low
JAMMU & KASHMIR,Srinagar,Devasandra,2018,Nov,1,High,Driver sleeping,Total Tempo/Vans,21,34,40,High
JAMMU & KASHMIR,Jammu,Dharmaraya Swamy Temple,2018,Nov,5,Medium,Car over speed and hit to road crossing Pedestrian,Total Jeep,23,21,22,Medium
JAMMU & KASHMIR,Anantnag,Dodda Nekkundi,2018,Nov,6,Medium,Two wheeler over speed and hit to Mini Bus,Truck/Lorry (Government),21,34,50,Medium
JAMMU & KASHMIR,Udhampur,Domlur,2018,Dec,4,Low,Truck over speed hit to JCB,Truck/Lorry (Private),12,21,30,Low
JAMMU & KASHMIR,Baramula,Garudachar Playa,2018,Dec,7,Medium,Car hit to road crossing pedestrian,Bus (Government),15,22,30,Medium
JAMMU & KASHMIR,Kathua,Gurappanapalya,2018,Dec,23,Low,car over speed and hit to two wheeler,Bus (Private),13,21,20,Low
JAMMU & KASHMIR,Ganderbal,Hagadur,2018,Dec,21,Medium,Car over speed and hit to road crossing Pedestrian. Fault of Road crossing pedestrian,Tempo/Vans (Government),10,23,40,Medium
JAMMU & KASHMIR,Punch,HAL Airport,2018,Dec,12,High,Two wheeler over speed self accident,Jeep (Government),20,3,5,High
JAMMU & KASHMIR,Srinagar,Halsoor,2018,Dec,31,Low,car over speed and hit to Auto,Car (Government),5,2,4,Low
JHARKHAND,Dumka,Hemmigepura,2018,Dec,13,Low,Two wheeler over speed Self accident,Total Truck/Lorry,6,3,5,Low
JHARKHAND,Hazaribagh,Horamavu,2018,Dec,30,Low,Two wheeler over speed Drunk & Drive,Total Bus,7,7,8,Low
JHARKHAND,Dhanbad,Hoysala Nagar,2018,Dec,23,Low,Bike over speed and vehicle skidding,Tempo/Vans (Government),9,23,25,Low
JHARKHAND,Jamshedpur,HSR Layout,2018,Dec,22,Medium,Multi Axle over speed and hit to Two wheeler,Car (Government),1,12,30,Medium
JHARKHAND,Hazaribagh,Hudi,2018,Dec,20,Medium,Self accident due to vehicle tyre puncher and over speed vehicle out of control,Bus (Government),12,20,31,Medium
JHARKHAND,Bokaro Steel City,J P Nagar,2018,Dec,11,High,Bike over speed fault of Motor vehicle,Tempo/Vans (Government),5,1,10,High
JHARKHAND,Ranchi,Jaraganahalli,2018,Dec,19,Medium,Car over speed and hit to car. Negligence driving,Car (Government),6,4,21,Medium
JHARKHAND,Daltonganj,Jayanagar East,2018,Dec,18,High,Car over speed and hit to Agriculture vehicle.,Truck/Lorry (Government),3,23,40,High
JHARKHAND,Deoghar,Jeevanbhima Nagar,2018,Dec,15,Medium,Car over speed in carriageway and overtaking the another vehicle and Cross the road of other vehicle to Hit in Junction portion,Bus (Government),5,2,7,Medium
JHARKHAND,Giridih,Jogupalya,2018,Dec,14,Medium,Two wheeler over speed and hit to Car,Bus (Government),10,24,23,Medium
JHARKHAND,Phusro,K R Puram,2018,Dec,12,High,Car over speed self accident,Truck/Lorry (Government),12,21,20,High
JHARKHAND,Gumia,Kacharkanahalli,2018,Dec,18,Low,Self Accident Drunk & Drive,Bus (Government),15,2,3,Low
JHARKHAND,Bermo,Kadugodi,2018,Dec,17,Medium,Car over speed self accident,Tempo/Vans (Government),20,22,23,Medium
JHARKHAND,Dumka,Kammanahalli,2018,Dec,14,Low,Two wheeler over speed Self accident,Truck/Lorry (Government),2,12,14,Low
JHARKHAND,Hazaribagh,Konena Agrahara,2018,Dec,9,Low,Car over speed vehicle out of control due to defects in mechanical condition and Hit to the two wheeler,Tempo/Vans (Government),19,34,40,Low
JHARKHAND,Dhanbad,Madivala,2018,Dec,8,Medium,Two wheeler over speed and hit to Two wheeler,Tempo/Vans (Government),17,21,22,Medium
JHARKHAND,Jamshedpur,Marathahalli,2018,Dec,10,Low,Drunken and Drive,Car (Government),16,34,50,Low
JHARKHAND,Hazaribagh,New Tippasandara,2018,Dec,20,Low,Omini,Tempo/Vans (Government),2,21,30,Low
JHARKHAND,Bokaro Steel City,Other,2018,Dec,2,Medium,car over speed and hit to two wheeler,Car (Government),13,22,30,Medium
JHARKHAND,Ranchi,other,2018,Dec,1,Medium,car over speed and hit to two wheeler,Car (Government),17,21,20,Medium
JHARKHAND,Daltonganj,Ramamurthy Nagar,2018,Dec,5,High,Unknown vehicle over speed and hit to two wheeler,Truck/Lorry (Government),2,23,40,High
KARNATAKA,Bangalore,Sampangiram Nagar,2018,Dec,6,Low,Two wheeler over speed self accident,Bus (Private),1,3,5,Low
KARNATAKA,Darwada,Sarakki,2018,Dec,4,Medium,Multi axle wrong route driving and hit to car,Tempo/Vans (Government),2,2,4,Medium
KARNATAKA,Davanagere,Shantala Nagar,2018,Dec,7,Medium,Bike drunk & drive,Jeep (Government),4,3,5,Medium
KARNATAKA,Hubli,Singasandra,2018,Dec,23,High,Truck over speed and hit to Two wheeler,Jeep (Private),5,7,8,High
KARNATAKA,Bagalkote,Sudham Nagara,2018,Dec,21,Low,Bike,Car (Government),8,23,25,Low
KARNATAKA,Gulburga,Varthuru,2018,Dec,12,High,"Truck over speed, Self accident. Defect in mechanical conditions.",Total Jeep,11,12,30,High
KARNATAKA,Mysore,Vasanthpura,2018,Dec,31,Low,Car hit to the other car because of over speed on the carriageway and vehicle out of control,Truck/Lorry (Government),9,20,31,Low
KARNATAKA,Mangalore,Vijnana Nagar,2018,Dec,13,Medium,Car hit to the other car because of over speed on the carriageway and vehicle out of control,Bus (Government),13,1,10,Medium
KARNATAKA,Udupi,Vijnanapura,2018,Dec,30,High,Car over speed and hit to car,Tempo/Vans (Government),20,4,21,High
KARNATAKA,Ranebennur,Yelchenahalli,2018,Dec,23,Low,Unknown vehicle over speed and hit to two wheeler,Tempo/Vans (Private),21,23,40,Low
KARNATAKA,Chitradurga,A Narayanapura,2018,Dec,22,High,LCV over speed and hit to Truck,Jeep (Government),19,2,7,High
KARNATAKA,Tumkur,Agaram,2018,Dec,20,High,Car over speed and hit to Bike,Jeep (Private),22,24,23,High
KARNATAKA,Siraspur,Banasavadi,2018,Dec,11,Low,Car over speed and hit to car,Car (Government),3,21,20,Low
KARNATAKA,sira,Basavanapura,2018,Dec,19,High,Car over speed hit to Three wheeler,Total Tempo/Vans,1,2,3,High
KARNATAKA,Shivamogga,Bellanduru,2018,Dec,18,High,Truck over speed and hit to car,Total Jeep,10,22,23,High
KARNATAKA,Bidar,Benniganahalli,2018,Dec,15,Low,Unknown vehicle hit and run,Truck/Lorry (Government),20,12,14,Low
KARNATAKA,Ballary,Bharathi Nagar,2018,Dec,14,High,Truck over speed and hit to LCV,Tempo/Vans (Government),21,34,40,High
KARNATAKA,Bijapur,BTM Layout,2018,Dec,12,Medium,Fault of driver of Motor vehicle,Jeep (Government),23,21,22,Medium
KARNATAKA,Ganavati,C V Raman Nagar,2018,Dec,18,Low,BBMP vehicle break down in Main carriage way another vehicle back side coming over speed the vehicle hit to the break down vehicle and vehicle skidding in centre of the road oppsite side KSRTC bus come in the main carraigeway that vehicle suddenly break the vehcile to hit median guard rail,Car (Government),21,34,50,Low
KARNATAKA,mandya,Chickpete,2018,Dec,17,Low,Car over speed and hit to jeep,Truck/Lorry (Government),12,21,30,Low
KARNATAKA,Chikmangalore,Devasandra,2018,Dec,14,High,Multi axle over speed and hit to LCV,Bus (Government),15,22,30,High
KERALA,Thiruvananthapuram,Dharmaraya Swamy Temple,2019,Dec,9,Medium,Bus over speed and Hit to Road crossing Pedestrian,Tempo/Vans (Government),13,21,20,Medium
KERALA,Kozhikode,Dodda Nekkundi,2019,Dec,8,Medium,Bus over speed and Hit to Road crossing Pedestrian,Jeep (Government),10,23,40,Medium
KERALA,Kochi,Domlur,2019,Jan ,10,Low,Car over speed and Hit to LCV,Jeep (Private),20,3,5,Low
KERALA,Thrissur,Garudachar Playa,2019,Jan ,20,Medium,LCV over speed vehicle out of control self accident,Car (Government),5,2,4,Medium
KERALA,Kollam,Gurappanapalya,2019,Jan ,2,Low,Car U turn the opening that time opposite car over speed and hit to car,Car (Private),6,3,5,Low
KERALA,Kannur,Hagadur,2019,Jan ,1,Medium,Two wheeler over speed and hit to truck,Total Jeep,7,7,8,Medium
KERALA,Kasaragod,HAL Airport,2019,Jan ,5,High,Car over speed self accident,Total Car,9,23,25,High
KERALA,Vatakara,Halsoor,2019,Jan ,6,Low,Car over speed Tyre blast vehicle out of control,Truck/Lorry (Government),1,12,30,Low
KERALA,Pathanamthitta,Hemmigepura,2019,Jan ,4,Low,Car over speed vehicle out of control Self accident,Bus (Government),12,20,31,Low
KERALA,Koyilandy,Horamavu,2019,Jan ,7,Low,Car over speed and Hit to Govt. Bus,Bus (Private),5,1,10,Low
KERALA,Tirur,Hoysala Nagar,2019,Jan ,23,Low,Truck over speed and hit to Two wheeler,Tempo/Vans (Government),6,4,21,Low
KERALA,Varkala,HSR Layout,2019,Jan ,21,Medium,Car over speed and hit to Two wheeler,Jeep (Government),3,23,40,Medium
KERALA,Kanhangad,Hudi,2019,Jan ,12,Medium,Drunk & Drive Bike,Car (Government),5,2,7,Medium
KERALA,Kollam,J P Nagar,2019,Jan ,31,High,Truck over speed and hit to Car,Bicycle,10,24,23,High
KERALA,Kannur,Jaraganahalli,2019,Jan ,13,Medium,Two wheeler over speed and hit to two wheeler,Pedestrian,12,21,20,Medium
KERALA,Kasaragod,Jayanagar East,2019,Jan ,30,High,Bike over speed and vehicle skidding,Total Bus,15,2,3,High
KERALA,Vatakara,Jeevanbhima Nagar,2019,Jan ,23,Medium,Car over speed self accident. Defects in mechanical condition,Truck/Lorry (Government),20,22,23,Medium
KERALA,Pathanamthitta,Jogupalya,2019,Jan ,22,Medium,Car over speed self accident. Defects in mechanical condition,Tempo/Vans (Government),2,12,14,Medium
KERALA,Koyilandy,K R Puram,2019,Jan ,20,High,Two wheeler over speed and skidding,Jeep (Government),19,34,40,High
KERALA,Tirur,Kacharkanahalli,2019,Jan ,11,Low,Self accident,Jeep (Private),17,21,22,Low
KERALA,Varkala,Kadugodi,2019,Jan ,19,Medium,Two wheeler over speed and skidding,Car (Government),16,34,50,Medium
LAKSHADWEEP,Kavaratti,Kammanahalli,2019,Jan ,18,Low,Car over speed and Hit to LCV,Car (Private),2,21,30,Low
LAKSHADWEEP,Kavaratti,Konena Agrahara,2019,Jan ,15,Low,Car over speed and hit to Two wheeler,Bicycle,13,22,30,Low
LAKSHADWEEP,Kavaratti,Madivala,2019,Jan ,14,Medium,Truck over speed and Hit to the Two wheeler,Pedestrian,17,21,20,Medium
LAKSHADWEEP,Kavaratti,Marathahalli,2019,Jan ,12,Low,Omni car wrong side driving Hit to Tata Indica,Total Jeep,2,23,40,Low
LAKSHADWEEP,Kavaratti,New Tippasandara,2019,Jan ,18,Low,TATA Ace Break Down vehicle parked in shoulder side another one vehicle Back side car over speed and Hit to TATA Ace and Median lane Car was over speed suddenly vehicle out off control again hit to shoulder lane car Total this portion contnius 6 vehicle are accident,Total Car,1,3,5,Low
LAKSHADWEEP,Kavaratti,Other,2019,Jan ,17,Medium,car over speed and hit to two wheeler,Truck/Lorry (Government),2,2,4,Medium
LAKSHADWEEP,Kavaratti,other,2019,Jan ,14,Medium,Car over speed vehicle out of control,Bus (Government),4,3,5,Medium
LAKSHADWEEP,Kavaratti,Ramamurthy Nagar,2019,Jan ,9,High,LCV hit to Bike,Tempo/Vans (Government),5,7,8,High
LAKSHADWEEP,Kavaratti,Sampangiram Nagar,2019,Jan ,8,Low,Bike over speed and Hit to the tanker,Jeep (Government),8,23,25,Low
LAKSHADWEEP,Minicoy,Sarakki,2019,Jan ,10,Medium,LCV over speed and hit to Two wheeler,Car (Government),11,12,30,Medium
LAKSHADWEEP,Minicoy,Shantala Nagar,2019,Jan ,20,Medium,LCV over speed and Hit to Two wheeler,Bicycle,9,20,31,Medium
LAKSHADWEEP,Minicoy,Singasandra,2019,Feb,2,High,Car over speed and hit to Two wheeler on over turn,Pedestrian,13,1,10,High
LAKSHADWEEP,Minicoy,Sudham Nagara,2019,Mar,1,Low,Fault of car vehicle over speed and hit to bike,Bus (Government),20,4,21,Low
LAKSHADWEEP,Amini Island,Varthuru,2019,Mar,5,High,Fault of car vehicle over speed and hit to bike,Jeep (Government),21,23,40,High
LAKSHADWEEP,Amini Island,Vasanthpura,2019,Mar,6,Low,Car over speed and hit to car,Jeep (Private),19,2,7,Low
LAKSHADWEEP,Amini Island,Vijnana Nagar,2019,Mar,4,Medium,Two wheeler over taking the Bus. Negligible Driving of Two wheeler,Car (Government),22,24,23,Medium
LAKSHADWEEP,Amini Island,Vijnanapura,2019,Mar,7,High,Bike over speed fault of Motor vehicle,Bicycle,3,21,20,High
LAKSHADWEEP,Amini Island,Yelchenahalli,2019,Mar,23,Low,Bus,Total Jeep,1,2,3,Low
LAKSHADWEEP,Minicoy Lakshadweep,A Narayanapura,2019,Mar,21,High,Pedestrian road crossing in the carriageway Multi axle Hit and Run,Truck/Lorry (Government),10,22,23,High
LAKSHADWEEP,Minicoy Lakshadweep,Agaram,2019,Mar,12,High,Self accident Drunk & Drive,Truck/Lorry (Private),20,12,14,High
LAKSHADWEEP,Minicoy Lakshadweep,Banasavadi,2019,Mar,31,Low,Car over speed and hit to Agriculture vehicle.,Bus (Government),21,34,40,Low
MADHYA PRADESH,Bhopal,Basavanapura,2019,Mar,13,High,car over speed and hit to two wheeler. Negligible driving,Bus (Private),23,21,22,High
